date,run,ticker,price,composite,analyst_score,foundation,chg_1m,off_low,target,fresh_turn
2026-07-17,manual (first full run),AMT,168.92,78.6,60.0,75.0,-9.1,4.2,215,False
2026-07-17,manual (first full run),CCL,26.86,73.0,34.0,70.2,-10.8,4.8,35,False
2026-07-20,midday,TER,339.90,90.5,90.0,99.7,-16.8,5.5,426,False
2026-07-20,midday,COHR,294.00,73.3,10.0,79.2,-22.4,6.2,391,False
2026-07-20,close-1h,LITE,772.20,82.4,22.0,90.2,-11.2,10.5,1105,True
2026-07-21,midday,WDC,550.26,96.1,50.0,89.4,-26.3,17.9,634,False
2026-07-21,midday,TER,377.04,96.0,90.0,99.7,-13.9,17.0,426,False
2026-07-21,midday,MRVL,210.04,95.0,50.0,97.9,-32.4,11.5,254,False
2026-07-21,midday,STX,895.29,92.5,83.0,85.4,-16.3,20.1,1009,False
2026-07-21,midday,SNDK,1574.81,92.4,47.0,84.0,-27.9,16.2,2144,False
2026-07-21,midday,MU,978.03,91.5,75.0,85.0,-13.7,15.2,1492,False
2026-07-21,midday,GLW,164.26,91.1,77.0,94.1,-15.7,7.3,214,False
2026-07-21,midday,LRCX,323.31,89.8,58.0,97.5,-16.9,5.4,368,False
2026-07-21,midday,KLAC,217.87,88.1,62.0,95.0,-16.1,4.9,235,False
2026-07-21,midday,NXPI,274.69,78.1,34.0,93.9,-12.0,3.1,311,False
2026-07-21,midday,ON,90.77,77.8,24.0,82.4,-25.4,4.7,114,False
2026-07-21,midday,COHR,318.86,77.3,10.0,79.2,-18.2,15.1,391,False
2026-07-21,midday,FLEX,127.38,75.4,15.0,87.4,-13.7,6.8,162,False
2026-07-21,midday,JBL,319.07,74.9,25.0,77.3,-14.2,6.0,441,False
2026-07-21,midday,Q,139.51,73.9,12.0,96.5,-17.4,3.7,175,False
2026-07-21,midday,CAT,896.92,66.8,12.0,82.2,-8.8,3.8,970,False
2026-07-21,close-1h,AMAT,566.09,89.9,70.0,97.2,-8.3,7.7,623,False
2026-07-22,midday,QCOM,176.41,79.2,62.0,66.7,-20.5,3.6,223,False
2026-07-22,midday,NXPI,277.42,76.7,24.0,93.9,-13.9,4.1,313,False
2026-07-22,midday,CAT,898.60,68.1,12.0,82.2,-11.9,4.0,970,False
2026-07-23,midday,Q,138.79,75.4,22.0,96.5,-13.9,3.1,175,False
2026-07-24,midday,CCL,26.53,75.9,44.0,70.2,-8.2,5.0,36,False
2026-07-27,midday,SNPS,392.29,79.5,23.0,100.0,-13.8,5.0,564,False
2026-07-27,midday,MLM,572.55,67.7,2.0,92.4,-9.0,4.7,681,False
2026-07-28,midday,CDNS,346.91,88.8,85.0,100.0,-8.0,6.3,404,False
2026-07-28,midday,APP,419.79,81.4,26.0,95.0,-12.0,7.1,655,False
2026-07-28,close-1h,LUV,46.09,77.9,75.0,75.6,-11.2,3.1,52,False
2026-07-29,close-1h,APP,404.52,76.9,26.0,95.0,-15.2,3.2,655,False
2026-07-30,midday,TER,359.17,99.5,100.0,99.8,-25.8,12.4,432,False
2026-07-30,midday,AMD,485.40,96.5,75.0,98.3,-16.4,13.0,575,False
2026-07-30,midday,AMAT,499.27,95.6,70.0,97.2,-30.9,14.4,628,False
2026-07-30,midday,LRCX,297.74,95.5,93.0,97.5,-31.3,18.0,375,False
2026-07-30,midday,WDC,524.75,94.3,75.0,89.4,-17.8,13.6,656,False
2026-07-30,midday,STX,838.29,93.2,83.0,91.4,-13.1,12.4,1016,False
2026-07-30,midday,MU,859.12,89.9,35.0,85.0,-25.6,16.3,1507,False
2026-07-30,midday,FIX,1685.98,87.1,83.0,68.9,-14.9,10.9,2211,False
2026-07-30,midday,GEV,967.69,86.3,62.0,75.1,-17.6,7.5,1233,False
2026-07-30,midday,SNDK,1254.75,85.1,47.0,84.0,-44.8,23.5,2218,False
2026-07-30,midday,INTC,92.50,85.1,83.0,67.7,-33.8,13.0,115,False
2026-07-30,midday,Q,133.91,84.6,22.0,96.5,-18.0,8.5,175,False
2026-07-30,midday,KEYS,313.06,81.5,30.0,100.0,-10.6,5.5,388,False
2026-07-30,midday,MRVL,181.11,81.1,22.0,97.9,-39.2,10.8,257,False
2026-07-30,midday,JBL,306.93,78.4,25.0,77.3,-20.4,6.9,441,False
2026-07-30,close-1h,LITE,684.58,86.6,25.0,90.2,-20.2,13.7,1105,False
2026-07-31,midday,KLAC,186.38,93.9,55.0,92.0,-30.0,9.5,229,False
2026-07-31,midday,CDNS,338.27,85.8,85.0,100.0,-10.4,3.7,404,False
2026-07-31,midday,COHR,261.59,81.5,22.0,79.2,-29.0,17.8,391,False
2026-07-31,midday,SNPS,384.96,77.7,23.0,100.0,-15.3,3.4,564,False
2026-07-31,close-1h,GNRC,198.11,87.8,63.0,94.9,-26.7,3.2,288,False
2026-08-03,midday,APP,408.48,78.1,18.0,95.0,-22.5,4.2,655,False
2026-08-03,midday,CARR,62.58,77.2,43.0,75.9,-10.4,4.4,78,False
2026-08-03,midday,HOOD,91.26,70.2,5.0,82.0,-19.0,5.4,120,False
2026-08-03,midday,CAT,820.56,67.5,4.0,82.2,-14.7,4.8,959,False
2026-08-04,midday,KLAC,194.69,94.6,55.0,92.0,-16.6,14.4,231,False
2026-08-04,midday,ON,81.44,64.4,2.0,82.4,-14.0,3.3,114,True
2026-08-05,midday,CHRW,153.63,84.9,55.0,82.1,-19.5,4.6,200,False
2026-08-11,manual dispatch,HOOD,94.52,77.9,15.0,82.0,-15.6,9.2,120,False
2026-08-11,open+1h,KLAC,199.59,86.0,25.0,100.0,-10.2,17.3,232,False
2026-08-11,open+1h,VRT,279.52,82.4,21.0,94.5,-8.6,25.3,338,False
2026-08-11,open+1h,SNDK,1277.47,77.8,5.0,80.0,-23.7,25.7,2054,False
2026-08-11,close-1h,SNDK,1268.28,78.0,5.0,80.0,-24.2,24.8,2054,False
2026-08-12,open+1h,AMD,488.21,94.7,85.0,98.9,-10.9,13.7,613,False
2026-08-12,open+1h,CMG,32.80,77.8,62.0,76.1,-10.0,3.2,44,False
2026-08-13,midday,CARR,63.56,78.9,43.0,75.9,-8.6,6.1,78,False
2026-08-13,midday,CHRW,150.13,76.2,25.0,82.1,-24.0,3.5,200,False
